GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project,com.increff.project.service,InventoryService,108,0,10,0,30,0,14,0,9,0
project,com.increff.project.service,OrderItemService,37,0,4,0,12,0,7,0,5,0
project,com.increff.project.service,ApiException,4,0,0,0,2,0,1,0,1,0
project,com.increff.project.service,BrandService,189,0,18,0,41,0,20,0,11,0
project,com.increff.project.service,OrderService,57,0,4,0,15,0,9,0,7,0
project,com.increff.project.service,ProductService,240,0,22,0,58,0,26,0,15,0
project,com.increff.project.service,ReportService,39,0,0,0,9,0,3,0,3,0
project,com.increff.project.pojo,OrderPojo,17,0,0,0,7,0,5,0,5,0
project,com.increff.project.pojo,InventoryPojo,28,0,0,0,11,0,8,0,8,0
project,com.increff.project.pojo,ProductPojo,38,0,0,0,16,0,11,0,11,0
project,com.increff.project.pojo,BrandPojo,24,0,0,0,10,0,7,0,7,0
project,com.increff.project.pojo,OrderItemPojo,63,0,0,0,27,0,14,0,14,0
project,com.increff.project.dao,ProductDao,75,0,2,0,20,0,8,0,7,0
project,com.increff.project.dao,OrderDao,40,0,0,0,11,0,6,0,6,0
project,com.increff.project.dao,BrandDao,88,0,0,0,24,0,9,0,9,0
project,com.increff.project.dao,AbstractDao,19,0,0,0,4,0,4,0,4,0
project,com.increff.project.dao,OrderItemDao,56,0,0,0,15,0,7,0,7,0
project,com.increff.project.dao,InventoryDao,47,0,0,0,13,0,8,0,8,0
project,com.increff.project.model,InventoryData,17,0,0,0,7,0,5,0,5,0
project,com.increff.project.model,BrandData,10,0,0,0,4,0,3,0,3,0
project,com.increff.project.model,ProductForm,38,0,0,0,16,0,11,0,11,0
project,com.increff.project.model,ProductSearchForm,17,0,0,0,7,0,5,0,5,0
project,com.increff.project.model,OrderForm,26,0,0,0,12,0,6,0,6,0
project,com.increff.project.model,BrandList,10,0,0,0,4,0,3,0,3,0
project,com.increff.project.model,InventoryForm,17,0,0,0,7,0,5,0,5,0
project,com.increff.project.model,ProductData,10,0,0,0,4,0,3,0,3,0
project,com.increff.project.model,BrandForm,17,0,0,0,7,0,5,0,5,0
project,com.increff.project.model,MessageData,10,0,0,0,4,0,3,0,3,0
project,com.increff.project.model,OrderData,31,0,0,0,13,0,9,0,9,0
project,com.increff.project.util,XmlUtil,69,0,0,0,18,0,3,0,3,0
project,com.increff.project.util,ConversionUtil,209,0,6,0,54,0,14,0,11,0
project,com.increff.project.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
project,com.increff.project.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
project,com.increff.project.spring,DBConfig,108,0,0,0,28,0,4,0,4,0
project,com.increff.project.spring,ControllerConfig,116,0,0,0,27,0,8,0,8,0
project,com.increff.project.controller,AppRestControllerAdvice,30,0,0,0,7,0,3,0,3,0
project,com.increff.project.controller,UIController,40,0,0,0,10,0,8,0,8,0
project,com.increff.project.controller,BrandController,105,0,4,0,28,0,10,0,8,0
project,com.increff.project.controller,OrderItemController,17,0,0,0,5,0,4,0,4,0
project,com.increff.project.controller,ProductController,112,0,4,0,26,0,8,0,6,0
project,com.increff.project.controller,InventoryController,83,0,0,0,22,0,6,0,6,0
project,com.increff.project.dto,OrderDto,297,0,18,0,62,0,17,0,8,0
